Biagioni Lagacci	BIG	8	44.086359	10.948257
Bianco	BCN	17	38.089072	16.153348
Bianze`	BZE	3	45.309488	8.115523
Bianzone	BIN	1	46.179383	10.112507
Biassono-Lesmo Parco	BLP	1	45.632209	9.298408
Bibiana	BNB	3	44.809941	7.285727
Bicocca	BCA	14	37.460617	15.044594
Biella Chiavazza	BAV	3	45.568084	8.066787
Biella S.Paolo	BSP	3	45.557334	8.067541
Biforco	BCR	13	44.068431	11.602243
Binario S.Marco Vecchio	BSM	13	43.790336	11.267403
Bisceglie	BIE	16	41.235445	16.499484
Bistagno	BNG	3	44.659256	8.372057
Bisuschio Viggiu	BOV	1	45.870658	8.887544
Bitetto Palo Del Colle	BPD	16	41.041481	16.74053
Bivio D`Aurisina	BOD	10	45.754253	13.655777
Boccia Al Mauro	BAR	18	40.732794	14.471878
Bogliasco	BCS	2	44.379207	9.066042
Boiano	BON	7	41.487883	14.474551
Bolgheri	BRE	13	43.244664	10.550548
Bologna Borgo Panigale	BBP	8	44.515024	11.284728
Bologna Centrale/Av	BCV	8	44.50626	11.342267
Bologna Corticella	BAL	8	44.551985	11.35401
Bologna Fiere	BAF	8	44.512742	11.368809
Bologna Mazzini	BAI	8	44.482284	11.376271
Bologna Ravone	AAB	8	44.510244	11.320029
Bologna S.Ruffillo	BSR	8	44.462657	11.372967
Bolzano 	NBO	22	46.496346	11.358556
Bolzano Novarese	BOE	3	45.759357	8.440754
Bolzano Sud 	BOU	9	46.472617	11.33334
Bonassola	BLS	2	44.184867	9.582673
Bonefro S.Croce	BSC	7	41.710522	14.860799
Bonferraro	BRO	12	45.185651	11.009247
Bonorva	BVA	20	40.417763	8.760707
Bordighera	BRH	2	43.778313	7.663504
Borghetto	BTH	9	45.696721	10.927083
Borghetto Parmense	BOP	8	44.837198	10.1177
Borghetto Santo Spirito	BST	2	44.109006	8.242346
Borgio Verezzi	BOI	2	44.157722	8.30908
Borgo	BGG	18	40.845976	14.784092
Borgo A Buggiano	BAB	13	43.880724	10.730079
Borgo A Mozzano	BOA	13	43.977207	10.541285
Borgo Fornari Per Voltaggio	BFP	2	44.588379	8.938295
Borgo Lavezzaro	BOL	3	45.318783	8.703242
Borgo Revel	BEO	3	45.189827	8.02021
Borgo S. Lorenzo	BSL	13	43.959822	11.380422
Borgo S.L.Rimorelli	BSE	13	43.953279	11.400076
Borgo S.Martino	BAS	3	45.087083	8.520661
Borgo San Dalmazzo	BSD	3	44.326249	7.486111
Borgo Ticino	BOT	3	45.691943	8.602483
Borgo Val Di Taro	BVD	8	44.486522	9.781489
Borgo Valsugana Centro	BVC	21	46.051182	11.453967
Borgo Valsugana Est	BVE	9	46.05224	11.462119
Borgo Vercelli	BOC	3	45.359252	8.461474
Borgoforte	BTF	1	45.050328	10.752388
Borgofranco	BCF	3	45.514775	7.854612
Borgolombardo	BDO	1	45.403856	9.27111
Borgomanero	BRN	3	45.701054	8.468093
Borgone	BNR	3	45.123191	7.236037
Borgoratto	BTG	3	44.835999	8.538182
Borgosesia	BIO	3	45.716798	8.28239
Borore	RBO	20	40.218992	8.809535
Boschi S.Anna	SBN	12	45.217328	11.362302
Bosco Redole	OBE	7	41.459299	14.587884
Boscoreale	BLR	18	40.770786	14.48017
Botricello	BLC	17	38.933943	16.857433
Bova Marina	ZBB	17	37.930269	15.923897
Bovalino	BNV	17	38.149087	16.180584
Bovino Deliceto	OEB	16	41.27835	15.369255
Bovolone	NOB	12	45.254446	11.123862
Bozzolo	BLZ	1	45.107246	10.472655
Bra	RBR	3	44.693556	7.848643
Bracciano	BNC	5	42.103667	12.173023
Bragno	NBR	2	44.371679	8.304473
Brancaleone	NRB	17	37.965475	16.103301
Brandizzo	BZZ	3	45.178915	7.841218
Breil Sur Roya	BSY	3	43.890267	7.530915
Brenna-Alzate	ALB	1	45.754044	9.183312
Brennero	RRB	22	47.004117	11.505711
Brescia	IBR	1	45.532315	10.212828
Bressana Argine	ABR	1	45.072739	9.137038
Bressana Bottarone	ABO	1	45.086298	9.110602
Bressanone	RBN	9	46.710088	11.649677
Briatico	BCI	17	38.725447	16.025765
Bricherasio	IRB	3	44.824336	7.307513
Brindisi	BRS	16	40.634339	17.938978
Brindisi Di Montagna	BDM	15	40.611991	15.955795
Brindisi Marittima	IBA	16	40.633543	17.94863
Briona	RNB	3	45.538568	8.479541
Brisighella	BLH	8	44.220565	11.769757
Brolo Ficarra	BOF	14	38.159204	14.830176
Broni	YZZ	1	45.066263	9.258751
Bronzolo 	BLN	9	46.40505	11.315833
Brozolo	BRL	3	45.121299	8.05893
Brunico 	BCU	9	46.794922	11.929989
Bruno	YZB	3	44.797947	8.439639
Bruzolo	BLU	3	45.131032	7.201497
Buccino S.	OBS	18	40.600806	15.374199
Bucine	BUN	13	43.480478	11.617609
Budoia Polcenigo	OBA	10	46.031464	12.537637
Bugnara	BRG	19	42.031166	13.862082
Buonconvento	BTU	13	43.135503	11.483773
Buonfornello	BLF	14	37.972052	13.816408
Buronzo	BZN	3	45.47179	8.2667
Busalla	BUL	2	44.57558	8.943611
Busca	BUC	3	44.520585	7.481589
Busche Lentiai Mel	BLM	12	46.040092	11.979251
Busseto	BUT	8	44.974692	10.038909
Bussi	BSU	19	42.194154	13.849075
Bussoleno	NBU	3	45.139631	7.144819
Busto Arsizio	BOZ	1	45.616164	8.865031
Buttafava	BVV	1	45.62141	9.301185
Buttapietra	BRT	12	45.338787	10.988059
Buttrio	BIU	10	46.012664	13.329039
Cadeo	CEO	8	44.967283	9.853181
Cagliari	CRI	20	39.216078	9.107984
Cagliari Elmas	CIE	20	39.264193	9.045497
Cairo Montenotte	COM	2	44.394747	8.278786
Cala Sabina	CAS	20	41.011012	9.5881
